17-4-9 19:29:07.9|Info|UpdateApp|Starting Radarr Update Client
17-4-9 19:29:08.1|Info|AppFolderInfo|Data directory is being overridden to [/config]
17-4-9 19:29:08.1|Debug|UpdateApp|NzbDrone process ID: 202
17-4-9 19:29:08.1|Debug|UpdateApp|Arguments:
17-4-9 19:29:08.1|Debug|UpdateApp|  202
17-4-9 19:29:08.1|Debug|UpdateApp|  /tmp/radarr_update
17-4-9 19:29:08.1|Debug|UpdateApp|  /opt/radarr/Radarr.exe
17-4-9 19:29:08.1|Debug|UpdateApp|  /data=/config
17-4-9 19:29:08.1|Debug|UpdateApp|  /nobrowser
17-4-9 19:29:08.1|Debug|UpdateApp|Using executing application: /opt/radarr/Radarr.exe
17-4-9 19:29:08.1|Debug|UpdateApp|Executable location: /opt/radarr/Radarr.exe
17-4-9 19:29:08.1|Info|InstallUpdateService|Installation Folder: /opt/radarr
17-4-9 19:29:08.1|Info|InstallUpdateService|Updating Radarr from version 0.2.0.375 to version 0.2.0.535
17-4-9 19:29:08.1|Info|InstallUpdateService|Verifying requirements before update...
17-4-9 19:29:08.1|Debug|ProcessProvider|Finding process with Id:202
17-4-9 19:29:08.5|Debug|ProcessProvider|Found process 202:mono-sgen [/usr/bin/mono-sgen]
17-4-9 19:29:08.5|Info|InstallUpdateService|Verifying Update Folder
17-4-9 19:29:09.0|Debug|ProcessProvider|Found 0 processes with the name: Radarr.Console
17-4-9 19:29:09.5|Debug|ProcessProvider|Found 1 processes with the name: Radarr
17-4-9 19:29:09.5|Debug|ProcessProvider| - [202] mono-sgen
17-4-9 19:29:09.5|Info|BackupAndRestore|Creating backup of existing installation
17-4-9 19:29:09.5|Debug|DiskTransferService|Mirror [/opt/radarr] > [/tmp/radarr_update/radarr_backup/]
17-4-9 19:29:09.5|Debug|DiskTransferService|Mirror [/opt/radarr/NzbDrone.Update] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update]
17-4-9 19:29:09.5|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/CurlSharp.dll] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/CurlSharp.dll]
17-4-9 19:29:09.5|Trace|SymbolicLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/CurlSharp.dll for symlink returned error ENOENT, assuming it's not a symlink.
17-4-9 19:29:09.5|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/CurlSharp.dll.mdb] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/CurlSharp.dll.mdb]
17-4-9 19:29:09.5|Trace|SymbolicLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/CurlSharp.dll.mdb for symlink returned error ENOENT, assuming it's not a symlink.
17-4-9 19:29:09.5|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/ICSharpCode.SharpZipLib.dll] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/ICSharpCode.SharpZipLib.dll]
17-4-9 19:29:09.5|Trace|SymbolicLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/ICSharpCode.SharpZipLib.dll for symlink returned error ENOENT, assuming it's not a symlink.
17-4-9 19:29:09.5|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/LogentriesCore.dll] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/LogentriesCore.dll]
17-4-9 19:29:09.5|Trace|SymbolicLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/LogentriesCore.dll for symlink returned error ENOENT, assuming it's not a symlink.
17-4-9 19:29:09.5|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/LogentriesCore.dll.mdb] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/LogentriesCore.dll.mdb]
17-4-9 19:29:09.5|Trace|SymbolicLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/LogentriesCore.dll.mdb for symlink returned error ENOENT, assuming it's not a symlink.
17-4-9 19:29:09.6|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/LogentriesNLog.dll] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/LogentriesNLog.dll]
17-4-9 19:29:09.6|Trace|SymbolicLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/LogentriesNLog.dll for symlink returned error ENOENT, assuming it's not a symlink.
17-4-9 19:29:09.6|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/LogentriesNLog.dll.mdb] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/LogentriesNLog.dll.mdb]
17-4-9 19:29:09.6|Trace|SymbolicLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/LogentriesNLog.dll.mdb for symlink returned error ENOENT, assuming it's not a symlink.
17-4-9 19:29:09.6|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/NLog.dll] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/NLog.dll]
17-4-9 19:29:09.6|Trace|SymbolicLinkResolver|Checking path /tmp/radarr_update/radarr_backup/NzbDrone.Update/NLog.dll for symlink returned error ENOENT, assuming it's not a symlink.
17-4-9 19:29:09.6|Debug|DiskTransferService|Copy [/opt/radarr/NzbDrone.Update/Newtonsoft.Json.dll] > [/tmp/radarr_update/radarr_backup/NzbDrone.Update/Newtonsoft.Json.dll]
