17-4-6 20:48:04.7|Info|UpdateApp|Starting Sonarr Update Client
17-4-6 20:48:06.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/128.png for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.1|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/logos/32.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/32.png]
17-4-6 20:48:06.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/32.png for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.1|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/logos/48.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/48.png]
17-4-6 20:48:06.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/48.png for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.1|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/logos/64.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/64.png]
17-4-6 20:48:06.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/64.png for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.1|Debug|DiskTransferService|Mirror [/opt/NzbDrone/UI/Content/Images/safari] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/safari]
17-4-6 20:48:06.1|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/safari/logo.svg] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/safari/logo.svg]
17-4-6 20:48:06.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/safari/logo.svg for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.1|Debug|DiskTransferService|Mirror [/opt/NzbDrone/UI/Content/Images/touch] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch]
17-4-6 20:48:06.1|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/touch/114.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/114.png]
17-4-6 20:48:06.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/114.png for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.1|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/touch/144.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/144.png]
17-4-6 20:48:06.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/144.png for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.1|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/touch/57.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/57.png]
17-4-6 20:48:06.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/57.png for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.1|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/touch/72.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/72.png]
17-4-6 20:48:06.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/72.png for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.1|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/404.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/404.png]
17-4-6 20:48:06.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/404.png for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.1|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/favicon-debug.ico] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/favicon-debug.ico]
17-4-6 20:48:06.2|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/favicon-debug.ico for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.2|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/favicon.ico] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/favicon.ico]
17-4-6 20:48:06.2|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/favicon.ico for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.2|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/poster-dark.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/poster-dark.png]
17-4-6 20:48:06.2|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/poster-dark.png for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.2|Debug|DiskTransferService|Mirror [/opt/NzbDrone/UI/Content/Messenger] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Messenger]
17-4-6 20:48:06.2|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Messenger/messenger.css] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Messenger/messenger.css]
17-4-6 20:48:06.2|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Messenger/messenger.css for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.2|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Messenger/messenger.flat.css] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Messenger/messenger.flat.css]
17-4-6 20:48:06.2|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Messenger/messenger.flat.css for symlink returned error ENOENT, assuming it's not a symlink.
17-4-6 20:48:06.2|Debug|DiskTransferService|Mirror [/opt/NzbDrone/UI/Content/_output] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output]
17-4-6 20:48:06.2|Debug|DiskTransferService|Mirror [/opt/NzbDrone/UI/Content/_output/UI] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/_output/UI]
